header,header,header,header,start,end,optimized split point
135,210,870,916,10,982,429
110,190,820,890,9,980,338
80,130,845,920,28,983,300
45,120,920,960,18,980,371
75,135,860,940,32,958,300
60,135,870,950,9,987,301
60,160,850,940,20,981,339
115,200,780,850,18,991,300
95,205,850,953,70,972,300
150,310,700,860,44,965,362
40,95,900,960,25,985,300
70,130,870,940,26,975,303
60,110,895,940,41,977,300
90,170,830,930,25,971,348
60,120,900,940,20,976,412
115,180,860,940,20,967,365
90,190,850,910,36,958,358
20,35,935,970,0,993,637
15,70,935,980,2,999,581
100,170,860,960,15,990,410
50,130,850,955,20,981,409
50,110,880,955,20,990,300
